"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_2436","","hypothetical protein","572","0","8","22","98.62068965517241","100.0","inf","6.849907614524877e-34","3.0434139531334028e-30","1.0144713177111343e-30","11","11","0","0.0009765625","0.0009765625"
"ugpQ","ugpQ","Glycerophosphodiester phosphodiesterase cytoplasmic","572","0","8","22","98.62068965517241","100.0","inf","6.849907614524877e-34","3.0434139531334028e-30","1.0144713177111343e-30","11","11","0","0.0009765625","0.0009765625"
"pbp~~~mecA_1","pbp;mecA_1","Beta-lactam-inducible penicillin-binding protein;PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA","572","0","8","22","98.62068965517241","100.0","inf","6.849907614524877e-34","3.0434139531334028e-30","1.0144713177111343e-30","11","11","0","0.0009765625","0.0009765625"
"group_167","","hypothetical protein","561","0","19","22","96.72413793103448","100.0","inf","2.8633831590068317e-29","1.2722011375467354e-25","3.1805028438668385e-26","11","11","0","0.0009765625","0.0009765625"
"group_657","","IS6 family transposase IS431R;IS6 family transposase IS431mec","501","1","79","21","86.37931034482759","95.45454545454545","133.1772151898734","1.2081838303910991e-16","5.367960758427653e-13","1.0735921516855306e-13","12","11","1","0.00634765625","0.00634765625"
"group_1097","","hypothetical protein","2","11","578","11","0.3448275862068966","50.0","0.0034602076124567475","6.181540322634936e-16","2.7464583653467024e-12","3.923511950495289e-13","2","1","2","0.5","1.0"
"group_827","","hypothetical protein","2","11","578","11","0.3448275862068966","50.0","0.0034602076124567475","6.181540322634936e-16","2.7464583653467024e-12","3.923511950495289e-13","2","1","2","0.5","1.0"
"group_1745","","hypothetical protein","443","0","137","22","76.37931034482759","100.0","inf","6.120590929339133e-14","2.719378549905377e-10","3.399223187381721e-11","10","10","0","0.001953125","0.001953125"
"group_1744","","hypothetical protein","442","0","138","22","76.20689655172413","100.0","inf","7.096337309376223e-14","3.1529026665558555e-10","3.503225185062062e-11","10","10","0","0.001953125","0.001953125"
"group_1271","","hypothetical protein","6","11","574","11","1.0344827586206897","50.0","0.010452961672473868","9.152405148377698e-14","4.0664136074242113e-10","3.6967396431129196e-11","3","2","2","1.0","1.0"
"group_208","","hypothetical protein","6","11","574","11","1.0344827586206897","50.0","0.010452961672473868","9.152405148377698e-14","4.0664136074242113e-10","3.6967396431129196e-11","3","2","2","1.0","1.0"
"group_2401","","hypothetical protein","2","9","578","13","0.3448275862068966","59.09090909090909","0.004998077662437524","9.755609028206985e-13","4.3344170912323635e-09","1.9701895869238017e-10","1","1","1","1.0","1.0"
"group_2380","","hypothetical protein","2","9","578","13","0.3448275862068966","59.09090909090909","0.004998077662437524","9.755609028206985e-13","4.3344170912323635e-09","1.9701895869238017e-10","1","1","1","1.0","1.0"
