"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_571","","hypothetical protein","245","151","12","192","95.3307392996109","55.97667638483965","25.960264900662253","4.200139684007318e-45","1.8657020476360507e-41","1.8657020476360507e-41","7","6","4","0.125","1.0"
"group_1193","","hypothetical protein","136","15","121","328","52.918287937743195","95.6268221574344","24.57741046831956","1.3964024471913595e-44","6.202819670424019e-41","3.1014098352120094e-41","14","7","8","0.79052734375","1.0"
"group_1566","","hypothetical protein","151","31","106","312","58.754863813229576","90.96209912536443","14.337188070602556","1.3144039642990735e-40","5.838582409416485e-37","1.9461941364721615e-37","10","7","4","0.34375","0.75390625"
"group_1781","","hypothetical protein","161","41","96","302","62.64591439688716","88.0466472303207","12.353150406504065","8.531767938852809e-40","3.789811318438418e-36","9.474528296096045e-37","15","11","5","0.11846923828124999","0.30175781249999994"
"group_1744","","hypothetical protein","252","190","5","153","98.0544747081712","44.606413994169095","40.58526315789474","1.8946143595508527e-38","8.415876985124887e-35","1.6831753970249775e-35","19","15","5","0.0192108154296875","0.063568115234375"
"group_1745","","hypothetical protein","252","191","5","152","98.0544747081712","44.31486880466473","40.10890052356021","4.556494849915503e-38","2.0239950123324664e-34","2.9719826412800074e-35","19","15","5","0.0192108154296875","0.063568115234375"
"group_1967","","hypothetical protein","89","0","168","343","34.63035019455253","100.0","inf","4.683448556722209e-38","2.0803878488960054e-34","2.9719826412800074e-35","2","2","0","0.5","0.5"
"group_2520","hsdM","Type I restriction enzyme EcoKI M protein","88","0","169","343","34.24124513618677","100.0","inf","1.418890923692433e-37","6.302713483041787e-34","7.003014981157541e-35","2","2","0","0.5","0.5"
"group_1059","","IS110 family transposase ISSep2","88","0","169","343","34.24124513618677","100.0","inf","1.418890923692433e-37","6.302713483041787e-34","7.003014981157541e-35","2","2","0","0.5","0.5"
"group_872","","hypothetical protein","139","27","118","316","54.08560311284047","92.12827988338192","13.786566227244194","2.991588930083245e-37","1.3288638027429774e-33","1.3288638027429775e-34","9","6","3","0.5078125","0.5078125"
