"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"msrA","msr(A)","ABC-F type ribosomal protection protein Msr(A)","121","4","83","393","59.31372549019608","98.99244332493703","143.23192771084337","3.784169234187431e-65","1.6805495569026383e-61","1.6805495569026383e-61","22","21","3","1.0967254638671875e-05","0.0008554458618164062"
"group_64","","hypothetical protein","87","4","117","393","42.64705882352941","98.99244332493703","73.0576923076923","3.8687624244881556e-42","1.7181173927151898e-38","8.590586963575949e-39","16","15","3","0.000518798828125","0.021270751953125"
"group_2928","","hypothetical protein","77","4","127","393","37.745098039215684","98.99244332493703","59.568897637795274","4.21784775851903e-36","1.8731461895583013e-32","4.682865473895753e-33","59","56","4","1.189326415129699e-13","1.6979681549678105e-12"
"ermC","ermC'","rRNA adenine N-6-methyltransferase","77","4","127","393","37.745098039215684","98.99244332493703","59.568897637795274","4.21784775851903e-36","1.8731461895583013e-32","4.682865473895753e-33","59","56","4","1.189326415129699e-13","1.6979681549678105e-12"
"group_1538","","hypothetical protein","77","6","127","391","37.745098039215684","98.48866498740554","39.51049868766404","5.508982131162365e-34","2.4465389644492062e-30","4.077564940748677e-31","5","5","2","0.0625","1.0"
"group_54","","hypothetical protein","77","6","127","391","37.745098039215684","98.48866498740554","39.51049868766404","5.508982131162365e-34","2.4465389644492062e-30","4.077564940748677e-31","5","5","2","0.0625","1.0"
"group_2446","","hypothetical protein","76","6","128","391","37.254901960784316","98.48866498740554","38.692708333333336","2.073346359336677e-33","9.207731181814183e-30","1.1509663977267729e-30","4","4","2","0.125","1.0"
"group_2248","","hypothetical protein","76","6","128","391","37.254901960784316","98.48866498740554","38.692708333333336","2.073346359336677e-33","9.207731181814183e-30","1.1509663977267729e-30","4","4","2","0.125","1.0"
"group_1793","","hypothetical protein","91","19","113","378","44.6078431372549","95.21410579345087","16.021425244527247","8.303880780333186e-32","3.687753454545968e-28","4.0975038383844087e-29","15","9","10","0.30175781249999994","0.6072387695312499"
"group_661","","hypothetical protein","76","8","128","389","37.254901960784316","97.98488664987406","28.87109375","1.4771906624491214e-31","6.560203731936548e-28","6.560203731936548e-29","5","4","3","0.375","1.0"
"group_1967","","hypothetical protein","78","10","126","387","38.23529411764706","97.48110831234257","23.957142857142856","5.352506736328639e-31","2.3770482416035487e-27","1.8010760672421577e-28","2","2","1","0.5","1.0"
"group_2517","","hypothetical protein","83","14","121","383","40.68627450980392","96.4735516372796","18.765643447461628","9.47277345317067e-31","4.206858690553095e-27","1.8010760672421577e-28","11","8","4","0.2265625","0.548828125"
"nikE_1","nikE_1","Nickel import ATP-binding protein NikE","76","9","128","388","37.254901960784316","97.73299748110831","25.59722222222222","1.0544466955256947e-30","4.68279777482961e-27","1.8010760672421577e-28","2","1","2","0.5","1.0"
"cmoB","cmoB","tRNA U34 carboxymethyltransferase","76","9","128","388","37.254901960784316","97.73299748110831","25.59722222222222","1.0544466955256947e-30","4.68279777482961e-27","1.8010760672421577e-28","2","1","2","0.5","1.0"
"group_2059","","hypothetical protein","76","9","128","388","37.254901960784316","97.73299748110831","25.59722222222222","1.0544466955256947e-30","4.68279777482961e-27","1.8010760672421577e-28","2","1","2","0.5","1.0"
"cntD_2","cntD_2","Metal-staphylopine import system ATP-binding protein CntD","76","9","128","388","37.254901960784316","97.73299748110831","25.59722222222222","1.0544466955256947e-30","4.68279777482961e-27","1.8010760672421577e-28","2","1","2","0.5","1.0"
"group_1948","","IS3 family transposase ISSau4","76","9","128","388","37.254901960784316","97.73299748110831","25.59722222222222","1.0544466955256947e-30","4.68279777482961e-27","1.8010760672421577e-28","2","1","2","0.5","1.0"
"group_1942","","Monoacylglycerol lipase","76","9","128","388","37.254901960784316","97.73299748110831","25.59722222222222","1.0544466955256947e-30","4.68279777482961e-27","1.8010760672421577e-28","2","1","2","0.5","1.0"
"group_1607","","hypothetical protein","76","9","128","388","37.254901960784316","97.73299748110831","25.59722222222222","1.0544466955256947e-30","4.68279777482961e-27","1.8010760672421577e-28","2","1","2","0.5","1.0"
"nikB_1","nikB_1","Nickel import system permease protein NikB","76","9","128","388","37.254901960784316","97.73299748110831","25.59722222222222","1.0544466955256947e-30","4.68279777482961e-27","1.8010760672421577e-28","2","1","2","0.5","1.0"
"group_1372","","hypothetical protein","76","9","128","388","37.254901960784316","97.73299748110831","25.59722222222222","1.0544466955256947e-30","4.68279777482961e-27","1.8010760672421577e-28","2","1","2","0.5","1.0"
"group_1334","","hypothetical protein","76","9","128","388","37.254901960784316","97.73299748110831","25.59722222222222","1.0544466955256947e-30","4.68279777482961e-27","1.8010760672421577e-28","2","1","2","0.5","1.0"
"speG","speG","Spermidine N(1)-acetyltransferase","76","9","128","388","37.254901960784316","97.73299748110831","25.59722222222222","1.0544466955256947e-30","4.68279777482961e-27","1.8010760672421577e-28","2","1","2","0.5","1.0"
