"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_2928","","hypothetical protein","76","5","10","512","88.37209302325581","99.03288201160542","778.24","1.0762783746481274e-78","4.78190481856163e-75","2.390952409280815e-75","58","56","4","1.1879386363489175e-14","3.169950413273171e-12"
"ermC","ermC'","rRNA adenine N-6-methyltransferase","76","5","10","512","88.37209302325581","99.03288201160542","778.24","1.0762783746481274e-78","4.78190481856163e-75","2.390952409280815e-75","58","56","4","1.1879386363489175e-14","3.169950413273171e-12"
"group_19","","hypothetical protein","6","192","80","325","6.976744186046512","62.86266924564797","0.126953125","1.89766860499243e-09","8.431341611981368e-06","2.810447203993789e-06","5","2","4","0.375","1.0"
"group_94","","hypothetical protein","23","313","63","204","26.744186046511626","39.458413926499034","0.23794310056290888","7.899588693631127e-09","3.50978725658031e-05","8.774468141450775e-06","5","5","4","0.0625","0.375"
"group_1809","nasE","Assimilatory nitrite reductase [NAD(P)H] small subunit","29","46","57","471","33.72093023255814","91.10251450676982","5.209382151029748","1.1442912662876924e-08","5.0840860961162174e-05","1.0168172192232435e-05","7","6","2","0.125","0.453125"
"group_2100","","hypothetical protein","29","47","57","470","33.72093023255814","90.9090909090909","5.087719298245614","1.6593043676833895e-08","7.3722893056173e-05","1.22871488426955e-05","3","3","1","0.25","1.0"
"group_1191","","hypothetical protein","16","258","70","259","18.6046511627907","50.09671179883946","0.22945736434108527","3.7968325655671344e-08","0.00016869327088814778","2.4099038698306825e-05","7","4","6","0.125","1.0"
"group_2394","","hypothetical protein","28","48","58","469","32.55813953488372","90.71566731141199","4.716954022988506","8.267159246230386e-08","0.00036730988531001607","4.591373566375201e-05","5","5","1","0.0625","0.375"
"nasE","nasE","Assimilatory nitrite reductase [NAD(P)H] small subunit","59","471","27","46","68.6046511627907","8.897485493230175","0.21341511362742785","1.404995614553141e-07","0.0006242395515459606","6.299050680150097e-05","5","2","4","0.375","1.0"
"group_1430","","putative lipoprotein","12","219","74","298","13.953488372093023","57.640232108317214","0.22065901517956313","1.544405998111344e-07","0.0006861795849608701","6.299050680150097e-05","11","6","6","1.0","1.0"
"group_1376","","hypothetical protein","62","214","24","303","72.09302325581395","58.6073500967118","3.657710280373832","1.559521887950733e-07","0.0006928955748165107","6.299050680150097e-05","11","11","5","0.0009765625","1.0"
"group_4","","hypothetical protein","27","48","59","469","31.3953488372093","90.71566731141199","4.471398305084746","2.761915529106606e-07","0.001227119069582065","7.748329554902017e-05","4","4","2","0.125","1.0"
"group_77","","hypothetical protein","8","183","78","334","9.30232558139535","64.60348162475822","0.1871934986689085","3.0266468517966954e-07","0.0013447391962532718","7.748329554902017e-05","15","6","10","0.30175781249999994","0.6072387695312499"
