"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"etb","etb","Exfoliative toxin B","0","1","68","0","0.0","0.0","0.0","0.014492753623188415","1.0","0.8699466056445466","1","0","1","1.0","1.0"
"group_1374","","hypothetical protein","0","1","68","0","0.0","0.0","0.0","0.014492753623188415","1.0","0.8699466056445466","1","0","1","1.0","1.0"
"group_432","","hypothetical protein","0","1","68","0","0.0","0.0","0.0","0.014492753623188415","1.0","0.8699466056445466","1","0","1","1.0","1.0"
"group_1175","","hypothetical protein","0","1","68","0","0.0","0.0","0.0","0.014492753623188415","1.0","0.8699466056445466","1","0","1","1.0","1.0"
"group_2281","","hypothetical protein","0","1","68","0","0.0","0.0","0.0","0.014492753623188415","1.0","0.8699466056445466","1","0","1","1.0","1.0"
"clpP_2","clpP_2","ATP-dependent Clp protease proteolytic subunit","0","1","68","0","0.0","0.0","0.0","0.014492753623188415","1.0","0.8699466056445466","1","0","1","1.0","1.0"
"group_2243","","hypothetical protein","0","1","68","0","0.0","0.0","0.0","0.014492753623188415","1.0","0.8699466056445466","1","0","1","1.0","1.0"
"group_2088","","hypothetical protein","0","1","68","0","0.0","0.0","0.0","0.014492753623188415","1.0","0.8699466056445466","1","0","1","1.0","1.0"
"group_1921","","hypothetical protein","0","1","68","0","0.0","0.0","0.0","0.014492753623188415","1.0","0.8699466056445466","1","0","1","1.0","1.0"
"group_1800","","hypothetical protein","0","1","68","0","0.0","0.0","0.0","0.014492753623188415","1.0","0.8699466056445466","1","0","1","1.0","1.0"
"group_1583","","hypothetical protein","0","1","68","0","0.0","0.0","0.0","0.014492753623188415","1.0","0.8699466056445466","1","0","1","1.0","1.0"
"group_1573","","hypothetical protein","0","1","68","0","0.0","0.0","0.0","0.014492753623188415","1.0","0.8699466056445466","1","0","1","1.0","1.0"
"group_1541","","hypothetical protein","0","1","68","0","0.0","0.0","0.0","0.014492753623188415","1.0","0.8699466056445466","1","0","1","1.0","1.0"
"group_1480","","hypothetical protein","0","1","68","0","0.0","0.0","0.0","0.014492753623188415","1.0","0.8699466056445466","1","0","1","1.0","1.0"
"group_1426","","hypothetical protein","0","1","68","0","0.0","0.0","0.0","0.014492753623188415","1.0","0.8699466056445466","1","0","1","1.0","1.0"
"group_1115","","hypothetical protein","0","1","68","0","0.0","0.0","0.0","0.014492753623188415","1.0","0.8699466056445466","1","0","1","1.0","1.0"
"group_947","","hypothetical protein","0","1","68","0","0.0","0.0","0.0","0.014492753623188415","1.0","0.8699466056445466","1","0","1","1.0","1.0"
"group_934","","hypothetical protein","0","1","68","0","0.0","0.0","0.0","0.014492753623188415","1.0","0.8699466056445466","1","0","1","1.0","1.0"
