"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"aacAaphD","aacA-aphD","Bifunctional AAC/APH","136","2","2","463","98.55072463768117","99.56989247311829","15742.0","3.6225391203016013e-131","1.6094941311500015e-127","1.6094941311500015e-127","25","24","1","1.5497207641601562e-06","1.5497207641601562e-06"
"group_2513","","hypothetical protein","135","2","3","463","97.82608695652173","99.56989247311829","10417.5","5.545638208078938e-129","2.463927055849472e-125","1.231963527924736e-125","25","24","1","1.5497207641601562e-06","1.5497207641601562e-06"
"group_98","","hypothetical protein","106","8","32","457","76.81159420289855","98.27956989247312","189.2265625","3.0255407595996667e-78","1.344247759490132e-74","4.480825864967107e-75","21","21","2","9.5367431640625e-07","0.00022125244140625"
"group_1507","","hypothetical protein","11","347","127","118","7.971014492753622","25.376344086021508","0.029453811069005423","2.3724567630396433e-47","1.0540825398185135e-43","2.635206349546284e-44","16","8","12","0.076812744140625","1.0"
"group_1111","","hypothetical protein","65","2","73","463","47.10144927536232","99.56989247311829","206.13013698630138","1.7515720789068853e-45","7.782234746583291e-42","1.2970391244305485e-42","10","9","1","0.021484375","0.021484375"
"group_964","","hypothetical protein","65","2","73","463","47.10144927536232","99.56989247311829","206.13013698630138","1.7515720789068853e-45","7.782234746583291e-42","1.2970391244305485e-42","10","9","1","0.021484375","0.021484375"
"group_1041","","hypothetical protein","66","6","72","459","47.82608695652174","98.70967741935483","70.125","9.527474572956874e-42","4.233056952764739e-38","6.047224218235342e-39","13","10","3","0.09228515625","0.09228515625"
"group_1913","","IS1182 family transposase ISSau3;IS1182 family transposase ISSep1","3","285","135","180","2.1739130434782608","38.70967741935484","0.014035087719298246","3.2178221884776987e-41","1.4296783983406415e-37","1.7870979979258018e-38","18","3","16","0.001312255859375","0.007537841796875"
"group_2514","","IS256 family transposase IS256","58","1","80","464","42.028985507246375","99.78494623655914","336.4","4.57396564337309e-41","2.0322129353506637e-37","2.2580143726118486e-38","20","19","1","4.00543212890625e-05","4.00543212890625e-05"
"group_860","","hypothetical protein","74","19","64","446","53.62318840579711","95.91397849462365","27.14144736842105","2.590359108138707e-38","1.1508965517460277e-34","1.1508965517460277e-35","13","10","4","0.09228515625","0.266845703125"
"group_1745","","hypothetical protein","42","402","96","63","30.434782608695656","13.548387096774196","0.06856343283582089","8.496009548978927e-36","3.774777042611337e-32","3.431615493283034e-33","20","10","12","0.5034446716308594","1.0"
"group_1857","","hypothetical protein","106","88","32","377","76.81159420289855","81.0752688172043","14.191051136363637","9.815423575414706e-36","4.3609926945567536e-32","3.634160578797295e-33","8","7","4","0.0703125","1.0"
"group_1744","","hypothetical protein","42","401","96","64","30.434782608695656","13.763440860215054","0.06982543640897755","1.9256376097769164e-35","8.555607900238839e-32","6.581236846337568e-33","17","11","10","0.332305908203125","0.629058837890625"
"group_1798","","hypothetical protein","76","27","62","438","55.072463768115945","94.19354838709677","19.885304659498207","2.3973678577817023e-35","1.0651505392124102e-31","7.608218137231502e-33","12","5","11","0.00634765625","0.7744140625"
"essG_1~~~essG_5~~~essG_6~~~essG_2~~~essG_8","essG_1;essG_5;essG_6;essG_2;essG_8","Type VII secretion system protein EsaG","30","365","108","100","21.73913043478261","21.50537634408602","0.076103500761035","7.210995557186037e-34","3.203845326057756e-30","2.135896884038504e-31","13","7","9","0.266845703125","1.0"
"group_2225","","hypothetical protein","49","3","89","462","35.507246376811594","99.35483870967742","84.78651685393258","2.388707120273165e-31","1.0613025735373672e-27","6.633141084608545e-29","3","3","1","0.25","1.0"
"group_1592","","hypothetical protein","70","438","68","27","50.72463768115942","5.806451612903226","0.06345688960515714","2.124504489659219e-29","9.43917344755591e-26","5.552454969150536e-27","9","7","6","0.1796875","0.5078125"
"group_1881","","hypothetical protein","41","379","97","86","29.71014492753623","18.494623655913976","0.09591165030057394","2.8934308398504096e-29","1.285551322145537e-25","7.141951789697427e-27","19","11","11","0.6476058959960938","0.6476058959960938"
"group_1602","","hypothetical protein","111","129","27","336","80.43478260869566","72.25806451612902","10.708010335917313","9.487444351962279e-29","4.215271525576841e-25","2.1076357627884202e-26","22","17","6","0.01690053939819336","0.052478790283203125"
