"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_2928","","hypothetical protein","66","15","6","516","91.66666666666666","97.17514124293785","378.4","7.423037276202514e-66","3.298055461816777e-62","1.6490277309083884e-62","53","50","5","5.519584789226428e-12","7.077378683106872e-10"
"ermC","ermC'","rRNA adenine N-6-methyltransferase","66","15","6","516","91.66666666666666","97.17514124293785","378.4","7.423037276202514e-66","3.298055461816777e-62","1.6490277309083884e-62","53","50","5","5.519584789226428e-12","7.077378683106872e-10"
"group_1376","","hypothetical protein","56","220","16","311","77.77777777777779","58.568738229755176","4.947727272727272","5.2247138997817255e-09","2.3213403856730206e-05","4.847821708057759e-06","12","11","5","0.00634765625","0.7744140625"
"group_2453","","hypothetical protein","2","170","70","361","2.7777777777777777","67.984934086629","0.060672268907563026","6.217736226826417e-09","2.762540205578977e-05","4.847821708057759e-06","6","2","5","0.21875","0.6875"
"group_19","","hypothetical protein","4","194","68","337","5.555555555555555","63.465160075329564","0.10218314129775621","6.5286603142990884e-09","2.900683777643085e-05","4.847821708057759e-06","4","1","4","0.125","0.625"
"group_564","","hypothetical protein","8","240","64","291","11.11111111111111","54.80225988700565","0.1515625","6.546686979146198e-09","2.9086930248346556e-05","4.847821708057759e-06","6","4","5","0.21875","0.6875"
"group_1809","nasE","Assimilatory nitrite reductase [NAD(P)H] small subunit","26","49","46","482","36.11111111111111","90.77212806026365","5.559893522626442","1.7062982004012348e-08","7.581082904382687e-05","1.0649387637460053e-05","7","6","3","0.125","1.0"
"group_77","","hypothetical protein","4","187","68","344","5.555555555555555","64.7834274952919","0.10821012897137465","2.35469091768532e-08","0.00010461891747275877","1.0649387637460053e-05","13","3","11","0.0224609375","0.09228515625"
"group_2100","","hypothetical protein","26","50","46","481","36.11111111111111","90.58380414312617","5.437391304347826","2.378439822368589e-08","0.00010567408130783642","1.0649387637460053e-05","3","3","1","0.25","1.0"
"group_94","","hypothetical protein","18","318","54","213","25.0","40.11299435028249","0.22327044025157233","2.396891208071135e-08","0.00010649387637460053","1.0649387637460053e-05","5","4","4","0.375","0.375"
"group_14","","hypothetical protein","15","293","57","238","20.833333333333336","44.8210922787194","0.21375965511047243","2.997516452023942e-08","0.00013317965596342375","1.2107241451220342e-05","15","10","8","0.30175781249999994","1.0"
"lexA_3","lexA_3","LexA repressor","4","182","68","349","5.555555555555555","65.72504708097928","0.11279896574014221","4.6725257349291694e-08","0.000207600318402903","1.4828594171635929e-05","12","3","11","0.00634765625","0.14599609375"
"group_1511","","hypothetical protein","4","182","68","349","5.555555555555555","65.72504708097928","0.11279896574014221","4.6725257349291694e-08","0.000207600318402903","1.4828594171635929e-05","12","3","11","0.00634765625","0.14599609375"
"dinG_2",";dinG_2","hypothetical protein;3'-5' exonuclease DinG","4","182","68","349","5.555555555555555","65.72504708097928","0.11279896574014221","4.6725257349291694e-08","0.000207600318402903","1.4828594171635929e-05","12","3","11","0.00634765625","0.14599609375"
"group_2061","","hypothetical protein","1","135","71","396","1.3888888888888888","74.57627118644068","0.04131455399061033","1.0510950935111584e-07","0.0004670015500470077","2.845861589708432e-05","9","1","8","0.0390625","0.0390625"
"group_1736","","hypothetical protein","1","134","71","397","1.3888888888888888","74.76459510357816","0.04172797981921379","1.0880432024713009e-07","0.000483417594857999","2.845861589708432e-05","9","1","8","0.0390625","0.0390625"
"group_615","","hypothetical protein","29","386","43","145","40.27777777777778","27.30696798493409","0.2533437763585974","1.0888959492469806e-07","0.00048379647025043347","2.845861589708432e-05","7","6","5","0.125","0.453125"
"group_2270","","hypothetical protein","6","199","66","332","8.333333333333332","62.52354048964218","0.1516674280493376","1.1938166020002687e-07","0.0005304127162687194","2.9467373126039968e-05","9","4","8","0.0390625","1.0"
"group_1887","","IS1182 family transposase ISSau3;IS1182 family transposase ISSep1","31","79","41","452","43.05555555555556","85.12241054613936","4.3260265514047544","1.2692468272874915e-07","0.0005639263653638325","2.9680335019149077e-05","6","4","4","0.6875","0.6875"
"group_2423","","hypothetical protein","30","75","42","456","41.66666666666667","85.87570621468926","4.3428571428571425","1.615875310503629e-07","0.0007179334004567624","3.589667002283812e-05","3","3","2","0.25","1.0"
"group_1499","","hypothetical protein","3","160","69","371","4.166666666666666","69.86817325800376","0.10081521739130435","1.7731223441491908e-07","0.0007877982575054855","3.751420273835645e-05","17","3","14","0.012725830078125","0.012725830078125"
"group_2438","","hypothetical protein","38","118","34","413","52.77777777777778","77.77777777777779","3.911764705882353","2.0154162316302422e-07","0.0008954494317133167","4.070224689605985e-05","7","5","4","0.453125","1.0"
"nasE","nasE","Assimilatory nitrite reductase [NAD(P)H] small subunit","48","482","24","49","66.66666666666666","9.227871939736348","0.2033195020746888","2.548274441643862e-07","0.001132198334422368","4.9226014540102953e-05","5","3","4","0.375","1.0"
"group_1512","","hypothetical protein","29","382","43","149","40.27777777777778","28.06026365348399","0.2630585656885426","2.7619480010559084e-07","0.00122713349686914","5.0922869055095877e-05","6","5","5","0.21875","0.21875"
"group_1191","","hypothetical protein","13","261","59","270","18.055555555555554","50.847457627118644","0.22793687901811807","2.920175842149853e-07","0.0012974341266671797","5.0922869055095877e-05","7","4","5","0.453125","1.0"
"group_1296","","hypothetical protein","29","381","43","150","40.27777777777778","28.24858757062147","0.2655191356894342","2.9799563255289057e-07","0.0013239945954324928","5.0922869055095877e-05","8","6","5","0.2890625","0.7265625"
"group_1269","","IS1182 family transposase ISSau3;hypothetical protein","10","234","62","297","13.88888888888889","55.932203389830505","0.20471464019851116","3.3215243223250737e-07","0.0014757532564090303","5.465752801514927e-05","14","9","10","0.1795654296875","0.4239501953125"
"group_1076","","hypothetical protein","37","115","35","416","51.388888888888886","78.3427495291902","3.8240993788819875","3.584684768166585e-07","0.0015926754424964136","5.688126580344334e-05","5","4","4","0.375","0.375"
"lpl2_3~~~lpl2_6","lpl2_3;lpl2_6;","putative lipoprotein;putative protein","25","55","47","476","34.72222222222222","89.6421845574388","4.603481624758221","4.107823835594056e-07","0.001825106130154439","5.703456656732622e-05","5","5","4","0.0625","0.375"
"group_338","","hypothetical protein","25","55","47","476","34.72222222222222","89.6421845574388","4.603481624758221","4.107823835594056e-07","0.001825106130154439","5.703456656732622e-05","14","6","10","0.1795654296875","0.79052734375"
"group_106","","hypothetical protein","25","55","47","476","34.72222222222222","89.6421845574388","4.603481624758221","4.107823835594056e-07","0.001825106130154439","5.703456656732622e-05","14","6","10","0.1795654296875","0.79052734375"
"group_47","","hypothetical protein","25","55","47","476","34.72222222222222","89.6421845574388","4.603481624758221","4.107823835594056e-07","0.001825106130154439","5.703456656732622e-05","14","6","10","0.1795654296875","0.79052734375"
"group_4","","hypothetical protein","24","51","48","480","33.33333333333333","90.3954802259887","4.705882352941177","4.634833518076474e-07","0.0020592565320813774","6.240171309337507e-05","4","4","2","0.125","1.0"
"group_1430","","putative lipoprotein","9","222","63","309","12.5","58.19209039548022","0.19884169884169883","5.029480696022877e-07","0.0022345982732429642","6.572347862479307e-05","9","4","6","0.5078125","1.0"
"xerD_3~~~xerD_2~~~xerD_4",";xerD_3;xerD_2;xerD_4","hypothetical protein;Tyrosine recombinase XerD","32","396","40","135","44.44444444444444","25.423728813559322","0.2727272727272727","6.083068019850801e-07","0.002702707121219711","7.434347447876536e-05","10","9","4","0.021484375","0.75390625"
"group_2394","","hypothetical protein","24","52","48","479","33.33333333333333","90.20715630885122","4.605769230769231","6.191106359924192e-07","0.0027507085557143185","7.434347447876536e-05","5","4","3","0.375","1.0"
"group_535","","hypothetical protein","24","52","48","479","33.33333333333333","90.20715630885122","4.605769230769231","6.191106359924192e-07","0.0027507085557143185","7.434347447876536e-05","5","4","2","0.375","1.0"
"group_1212","","hypothetical protein","24","53","48","478","33.33333333333333","90.01883239171374","4.509433962264151","8.219481875828513e-07","0.0036519157974306085","9.610304730080548e-05","4","4","2","0.125","1.0"
"group_2658","","ISL3 family transposase IS1181","27","68","45","463","37.5","87.1939736346516","4.0852941176470585","1.078544863385815e-06","0.004791974828023176","0.00010697256335853443","17","9","10","0.629058837890625","1.0"
"group_1822","","hypothetical protein","1","120","71","411","1.3888888888888888","77.40112994350282","0.04823943661971831","1.0806604305805643e-06","0.004801374293069447","0.00010697256335853443","9","1","8","0.0390625","0.0390625"
"tarM~~~tarM_2~~~tarM_1","tarM;tarM_2;tarM_1","Poly(ribitol-phosphate) alpha-N-acetylglucosaminyltransferase","10","226","62","305","13.88888888888889","57.43879472693032","0.217670568084499","1.1518906238190198e-06","0.005117850041627905","0.00010697256335853443","9","5","8","0.0390625","1.0"
"group_1485","","hypothetical protein","10","225","62","306","13.88888888888889","57.6271186440678","0.21935483870967742","1.1919390868801406e-06","0.005295785363008464","0.00010697256335853443","9","5","8","0.0390625","1.0"
"group_1449","","hypothetical protein","23","50","49","481","31.944444444444443","90.58380414312617","4.515510204081632","1.2279092350405708e-06","0.005455600731285256","0.00010697256335853443","3","3","1","0.25","1.0"
"group_1223","","hypothetical protein","23","50","49","481","31.944444444444443","90.58380414312617","4.515510204081632","1.2279092350405708e-06","0.005455600731285256","0.00010697256335853443","3","3","1","0.25","1.0"
"group_906","","hypothetical protein","23","50","49","481","31.944444444444443","90.58380414312617","4.515510204081632","1.2279092350405708e-06","0.005455600731285256","0.00010697256335853443","3","3","1","0.25","1.0"
"group_451","","hypothetical protein","23","50","49","481","31.944444444444443","90.58380414312617","4.515510204081632","1.2279092350405708e-06","0.005455600731285256","0.00010697256335853443","3","3","1","0.25","1.0"
"group_425","","hypothetical protein","23","50","49","481","31.944444444444443","90.58380414312617","4.515510204081632","1.2279092350405708e-06","0.005455600731285256","0.00010697256335853443","3","3","1","0.25","1.0"
"group_362","","hypothetical protein","23","50","49","481","31.944444444444443","90.58380414312617","4.515510204081632","1.2279092350405708e-06","0.005455600731285256","0.00010697256335853443","3","3","1","0.25","1.0"
"group_342","","hypothetical protein","23","50","49","481","31.944444444444443","90.58380414312617","4.515510204081632","1.2279092350405708e-06","0.005455600731285256","0.00010697256335853443","3","3","1","0.25","1.0"
"group_331","","hypothetical protein","23","50","49","481","31.944444444444443","90.58380414312617","4.515510204081632","1.2279092350405708e-06","0.005455600731285256","0.00010697256335853443","3","3","1","0.25","1.0"
"group_124","","hypothetical protein","23","50","49","481","31.944444444444443","90.58380414312617","4.515510204081632","1.2279092350405708e-06","0.005455600731285256","0.00010697256335853443","3","3","1","0.25","1.0"
"qorB","qorB","Quinone oxidoreductase 2","49","480","23","51","68.05555555555556","9.6045197740113","0.22635869565217392","1.6261779680204276e-06","0.00722510871191476","0.00013632280588518416","4","2","3","0.625","1.0"
"mvaA","mvaA","3-hydroxy-3-methylglutaryl-coenzyme A reductase","23","51","49","480","31.944444444444443","90.3954802259887","4.417767106842737","1.6261779680204276e-06","0.00722510871191476","0.00013632280588518416","3","3","2","0.25","1.0"
"group_2388","","hypothetical protein","1","116","71","415","1.3888888888888888","78.15442561205273","0.05038853812530355","1.903272521367811e-06","0.008456239812437184","0.00015659703356365155","9","1","8","0.0390625","0.0390625"
"group_1367","","hypothetical protein","57","266","15","265","79.16666666666666","49.90583804143126","3.7857142857142856","2.2250366198480225e-06","0.009885837701984763","0.00017974250367245025","6","6","4","0.03125","0.6875"
"group_2084","","hypothetical protein","2","130","70","401","2.7777777777777777","75.51789077212806","0.08813186813186813","2.5925827372208383e-06","0.011518845101472185","0.00020569366252628902","3","2","2","1.0","1.0"
"scdA","scdA","Iron-sulfur cluster repair protein ScdA","67","365","5","166","93.05555555555556","31.26177024482109","6.094246575342466","2.8701930147984606e-06","0.01275226756474956","0.0002198666821508545","4","3","3","0.625","0.625"
"group_2309","scdA","Iron-sulfur cluster repair protein ScdA","5","166","67","365","6.944444444444445","68.7382297551789","0.16408919259126056","2.8701930147984606e-06","0.01275226756474956","0.0002198666821508545","4","3","3","0.625","0.625"
"group_665","","hypothetical protein","53","235","19","296","73.61111111111111","55.74387947269304","3.5135498320268757","3.957647667297034e-06","0.017583828585800723","0.0002945977098746157","27","17","12","0.24778856337070465","0.7011080384254456"
"group_2069","","hypothetical protein","22","50","50","481","30.555555555555557","90.58380414312617","4.2328","4.177280153522573e-06","0.01855965572210079","0.0002945977098746157","2","2","1","0.5","1.0"
"group_1944","","hypothetical protein","22","50","50","481","30.555555555555557","90.58380414312617","4.2328","4.177280153522573e-06","0.01855965572210079","0.0002945977098746157","2","2","1","0.5","1.0"
