"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"lpl2_5~~~lpl2_4~~~lpl2_3~~~lpl2_6~~~lpl2_1~~~lpl2_2~~~lpl2","lpl2_5;lpl2_4;lpl2_3;lpl2_6;lpl2_1;lpl2_2;lpl2;","putative lipoprotein;putative protein;hypothetical protein","74","343","86","3","46.25","0.8670520231213872","0.007525933961624517","5.4027573071258524e-48","1.6797172467854276e-44","1.6797172467854276e-44","2","1","2","0.5","1.0"
"group_1488","","hypothetical protein","99","29","61","317","61.875","91.61849710982659","17.740531373657433","1.9474365716974315e-36","6.0545803014073146e-33","3.0272901507036573e-33","15","11","8","0.11846923828124999","1.0"
"group_231","","hypothetical protein","96","29","64","317","60.0","91.61849710982659","16.396551724137932","1.9734444561728527e-34","6.135438814241399e-31","2.0451462714137998e-31","15","11","8","0.11846923828124999","1.0"
"group_2157","","hypothetical protein","95","31","65","315","59.375","91.04046242774567","14.851116625310175","1.045129620918437e-32","3.2493079914354205e-29","8.123269978588551e-30","15","8","8","1.0","1.0"
"group_338","","hypothetical protein","63","3","97","343","39.375","99.13294797687861","74.25773195876289","2.643131146067316e-32","8.217494733123285e-29","1.1739278190176122e-29","10","7","3","0.34375","0.34375"
"group_106","","hypothetical protein","63","3","97","343","39.375","99.13294797687861","74.25773195876289","2.643131146067316e-32","8.217494733123285e-29","1.1739278190176122e-29","10","7","3","0.34375","0.34375"
"group_47","","hypothetical protein","63","3","97","343","39.375","99.13294797687861","74.25773195876289","2.643131146067316e-32","8.217494733123285e-29","1.1739278190176122e-29","10","7","3","0.34375","0.34375"
"group_571","","hypothetical protein","150","153","10","193","93.75","55.78034682080924","18.92156862745098","4.809155742051437e-30","1.495166520203792e-26","1.86895815025474e-27","7","6","4","0.125","1.0"
"group_1745","","hypothetical protein","158","192","2","154","98.75","44.50867052023121","63.364583333333336","5.31007039896032e-29","1.6509008870367634e-25","1.673953618564532e-26","17","15","2","0.002349853515625","0.002349853515625"
"group_1469","","hypothetical protein","83","24","77","322","51.87500000000001","93.0635838150289","14.462121212121213","5.38421877955784e-29","1.6739536185645322e-25","1.673953618564532e-26","16","10","8","0.454498291015625","1.0"
"group_1744","","hypothetical protein","157","191","3","155","98.125","44.797687861271676","42.4694589877836","1.0887445265376251e-27","3.384906733005477e-24","3.077187939095888e-25","17","14","3","0.012725830078125","0.012725830078125"
"group_2149","","hypothetical protein","48","0","112","346","30.0","100.0","inf","3.7907496810356666e-27","1.1785440758339888e-23","9.821200631949906e-25","3","3","0","0.25","0.25"
"group_1193","","hypothetical protein","69","15","91","331","43.125","95.66473988439307","16.731868131868133","5.184190051165005e-26","1.6117646869072e-22","1.2398189899286155e-23","13","6","7","1.0","1.0"
"group_2087","","hypothetical protein","46","0","114","346","28.749999999999996","100.0","inf","6.213157022614569e-26","1.9316705183308695e-22","1.3797646559506212e-23","2","2","0","0.5","0.5"
