"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"lpl2_5~~~lpl2_4~~~lpl2_3~~~lpl2_6~~~lpl2_1~~~lpl2_2~~~lpl2","lpl2_5;lpl2_4;lpl2_3;lpl2_6;lpl2_1;lpl2_2;lpl2;","putative lipoprotein;putative protein;hypothetical protein","74","430","87","12","45.962732919254655","2.7149321266968327","0.023736968724939855","2.9265852671650815e-46","1.3002818342014457e-42","1.3002818342014457e-42","2","2","2","0.5","0.5"
"group_1488","","hypothetical protein","100","41","61","401","62.11180124223602","90.72398190045249","16.03358656537385","2.1278984284406215e-38","9.454252717561681e-35","4.727126358780841e-35","18","12","10","0.237884521484375","0.8145294189453125"
"group_231","","hypothetical protein","97","41","64","401","60.24844720496895","90.72398190045249","14.823551829268293","3.022715503081125e-36","1.342992498018944e-32","4.4766416600631466e-33","20","11","12","0.5034446716308594","0.8238029479980469"
"group_2157","","hypothetical protein","96","41","65","401","59.62732919254658","90.72398190045249","14.445028142589118","1.5260398105248932e-35","6.780194878162101e-32","1.6950487195405252e-32","19","9","13","0.1670684814453125","1.0"
"group_1920","","hypothetical protein","90","49","71","393","55.90062111801242","88.91402714932126","10.166714573153206","3.0914050929752316e-28","1.3735112828088954e-24","2.289185471348159e-25","15","9","8","0.6072387695312499","1.0"
"group_1006","","hypothetical protein","90","49","71","393","55.90062111801242","88.91402714932126","10.166714573153206","3.0914050929752316e-28","1.3735112828088954e-24","2.289185471348159e-25","15","9","8","0.6072387695312499","1.0"
"mhqD","mhqD","Putative hydrolase MhqD","108","89","53","353","67.08074534161491","79.86425339366517","8.082255670977316","2.230770290126522e-26","9.911312399032138e-23","1.4159017712903054e-23","8","5","5","0.7265625","0.7265625"
"group_474","","hypothetical protein","92","58","69","384","57.14285714285714","86.87782805429865","8.827586206896552","3.070740811124829e-26","1.3643301423827617e-22","1.705412677978452e-23","18","11","10","0.480682373046875","0.8145294189453125"
"mhqD~~~mhqD_1~~~mhqD_2","mhqD;mhqD_1;;mhqD_2","Putative hydrolase MhqD;hypothetical protein","54","354","107","88","33.54037267080746","19.90950226244344","0.12545540947251702","4.9626946669438156e-26","2.204925240523137e-22","2.0073336558032758e-23","6","4","4","0.6875","0.6875"
"group_338","","hypothetical protein","63","17","98","425","39.130434782608695","96.15384615384616","16.071428571428573","5.421562878604391e-26","2.408800386963931e-22","2.0073336558032758e-23","14","9","9","0.4239501953125","0.4239501953125"
