"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"lpl2_5~~~lpl2_4~~~lpl2_3~~~lpl2_6~~~lpl2_1~~~lpl2_2~~~lpl2","lpl2_5;lpl2_4;lpl2_3;lpl2_6;lpl2_1;lpl2_2;lpl2;","putative lipoprotein;putative protein;hypothetical protein","74","335","85","3","46.540880503144656","0.8875739644970414","0.007796312554872695","7.205804115874739e-47","2.2388433388022816e-43","2.2388433388022816e-43","2","1","2","0.5","1.0"
"group_1488","","hypothetical protein","98","28","61","310","61.63522012578616","91.71597633136095","17.78688524590164","6.631861424733598e-36","2.060519344664729e-32","1.0302596723323645e-32","15","11","8","0.11846923828124999","1.0"
"group_231","","hypothetical protein","95","28","64","310","59.74842767295597","91.71597633136095","16.434151785714285","6.463872720448431e-34","2.0083252542433275e-30","6.694417514144425e-31","15","11","8","0.11846923828124999","1.0"
"group_2157","","hypothetical protein","94","30","65","308","59.11949685534591","91.12426035502959","14.847179487179487","3.4721841492474273e-32","1.0788076151711758e-28","2.6970190379279394e-29","15","8","8","1.0","1.0"
"group_338","","hypothetical protein","62","3","97","335","38.9937106918239","99.11242603550295","71.37457044673539","2.258988753176122e-31","7.018678056118211e-28","1.0026682937311729e-28","10","7","3","0.34375","0.34375"
"group_106","","hypothetical protein","62","3","97","335","38.9937106918239","99.11242603550295","71.37457044673539","2.258988753176122e-31","7.018678056118211e-28","1.0026682937311729e-28","10","7","3","0.34375","0.34375"
"group_47","","hypothetical protein","62","3","97","335","38.9937106918239","99.11242603550295","71.37457044673539","2.258988753176122e-31","7.018678056118211e-28","1.0026682937311729e-28","10","7","3","0.34375","0.34375"
"group_571","","hypothetical protein","149","148","10","190","93.71069182389937","56.213017751479285","19.12837837837838","5.9295681432317144e-30","1.8423168221020936e-26","2.302896027627617e-27","7","6","4","0.125","1.0"
"group_1745","","hypothetical protein","157","189","2","149","98.74213836477988","44.08284023668639","61.886243386243386","4.289450666952029e-28","1.3327323222219954e-24","1.4808136913577727e-25","16","14","2","0.004180908203125","0.004180908203125"
"group_1469","","hypothetical protein","81","24","78","314","50.943396226415096","92.89940828402366","13.586538461538462","1.9282290271145694e-27","5.9910075872449674e-24","5.991007587244967e-25","16","10","8","0.454498291015625","1.0"
"group_1744","","hypothetical protein","156","188","3","150","98.11320754716981","44.37869822485207","41.48936170212766","4.146249247186884e-27","1.2882396411009649e-23","1.1711269464554226e-24","16","13","3","0.021270751953125","0.021270751953125"
"group_2149","","hypothetical protein","47","0","112","338","29.559748427672954","100.0","inf","2.6342678265752673e-26","8.184670137169356e-23","6.82055844764113e-24","3","3","0","0.25","0.25"
"group_1193","","hypothetical protein","68","15","91","323","42.76729559748428","95.56213017751479","16.09084249084249","4.011979494799356e-25","1.2465220290341598e-21","9.25134393950707e-23","13","6","7","1.0","1.0"
"group_2087","","hypothetical protein","45","0","114","338","28.30188679245283","100.0","inf","4.1686132974927255e-25","1.2951881515309898e-21","9.25134393950707e-23","2","2","0","0.5","0.5"
"group_1920","","hypothetical protein","88","38","71","300","55.34591194968554","88.75739644970415","9.785025945144552","9.312150082286703e-25","2.8932850305664787e-21","1.8083031441040492e-22","12","8","5","0.3876953125","0.7744140625"
"group_1006","","hypothetical protein","88","38","71","300","55.34591194968554","88.75739644970415","9.785025945144552","9.312150082286703e-25","2.8932850305664787e-21","1.8083031441040492e-22","12","8","5","0.3876953125","0.7744140625"
"group_1642","","putative lipoprotein","119","92","40","246","74.84276729559748","72.7810650887574","7.954891304347826","1.03927556584907e-23","3.2290291830930604e-20","1.899428931231212e-21","9","6","6","0.5078125","0.5078125"
"group_1881","","hypothetical protein","149","173","10","165","93.71069182389937","48.81656804733728","14.210982658959537","1.494144355760538e-23","4.642306513347991e-20","2.579059174082217e-21","17","11","8","0.332305908203125","1.0"
"mhqD","mhqD","Putative hydrolase MhqD","106","70","53","268","66.66666666666666","79.28994082840237","7.6571428571428575","4.523715067334415e-23","1.4055182714208027e-19","7.397464586425277e-21","7","5","4","0.453125","1.0"
"group_474","","hypothetical protein","90","45","69","293","56.60377358490566","86.68639053254438","8.492753623188406","4.80293465435534e-23","1.4922717971082041e-19","7.46135898554102e-21","15","10","8","0.30175781249999994","1.0"
"group_1566","","hypothetical protein","79","31","80","307","49.685534591194966","90.8284023668639","9.779435483870968","7.044396107883461e-23","2.1886938707193913e-19","1.0422351765330435e-20","10","7","4","0.34375","0.75390625"
"group_1546","","hypothetical protein","4","137","155","201","2.515723270440252","59.46745562130178","0.037862020249587944","8.367616886495755e-23","2.5998185666342313e-19","1.1817357121064687e-20","5","2","5","0.0625","1.0"
"group_1183","","hypothetical protein","3","131","156","207","1.8867924528301887","61.24260355029586","0.03038755137991779","1.359555271653582e-22","4.224138229027679e-19","1.7951241167883216e-20","16","3","13","0.021270751953125","0.021270751953125"
"mhqD~~~mhqD_1~~~mhqD_2","mhqD;mhqD_1;;mhqD_2","Putative hydrolase MhqD;hypothetical protein","54","268","105","70","33.9622641509434","20.710059171597635","0.13432835820895522","1.498035901209885e-22","4.654397545059113e-19","1.7951241167883216e-20","6","4","4","0.6875","0.6875"
"group_1362","","hypothetical protein","90","46","69","292","56.60377358490566","86.3905325443787","8.279773156899811","1.5021959136303946e-22","4.667322703649636e-19","1.7951241167883216e-20","15","10","8","0.30175781249999994","1.0"
"group_207","","hypothetical protein","90","46","69","292","56.60377358490566","86.3905325443787","8.279773156899811","1.5021959136303946e-22","4.667322703649636e-19","1.7951241167883216e-20","15","10","8","0.30175781249999994","1.0"
"group_1898","","hypothetical protein","151","185","8","153","94.9685534591195","45.26627218934911","15.610135135135135","2.336761747214386e-22","7.260318748595096e-19","2.6890069439241097e-20","9","8","3","0.0390625","0.5078125"
"group_1797","","hypothetical protein","149","178","10","160","93.71069182389937","47.337278106508876","13.393258426966293","3.9279663007642305e-22","1.2204191296474463e-18","4.3586397487408797e-20","6","5","4","0.21875","0.6875"
"group_1778","","hypothetical protein","48","5","111","333","30.18867924528302","98.5207100591716","28.8","4.672128688546611e-21","1.451630383531432e-17","5.005622012177352e-19","10","6","4","0.75390625","0.75390625"
"group_752","","hypothetical protein","92","54","67","284","57.861635220125784","84.02366863905326","7.2216694306246545","8.856630773624946e-21","2.7517551813652708e-17","9.172517271217568e-19","7","4","6","0.125","1.0"
"group_1682","","hypothetical protein","55","11","104","327","34.59119496855346","96.7455621301775","15.721153846153847","1.8409456542052804e-20","5.719818147615806e-17","1.845102628263163e-18","5","4","1","0.375","0.375"
"group_1781","","hypothetical protein","81","39","78","299","50.943396226415096","88.46153846153845","7.961538461538462","1.91353198136669e-20","5.945343866106306e-17","1.8579199581582208e-18","14","10","5","0.1795654296875","0.4239501953125"
"dus_2~~~dus_1~~~dus","dus_2;dus_1;dus","putative tRNA-dihydrouridine synthase","64","278","95","60","40.25157232704403","17.75147928994083","0.145399469897766","2.248858896552149e-20","6.987204591587527e-17","2.117334724723493e-18","7","5","5","0.453125","0.453125"
"fnbA_1~~~fnbA","fnbA_1;fnbA","Fibronectin-binding protein A","48","6","111","332","30.18867924528302","98.22485207100591","23.92792792792793","3.176164927166904e-20","9.868344428707571e-17","2.9024542437375208e-18","4","2","2","1.0","1.0"
"group_872","","hypothetical protein","69","26","90","312","43.39622641509434","92.3076923076923","9.2","7.349038465013596e-20","2.2833462510797244e-16","6.5238464316563556e-18","9","6","3","0.5078125","0.5078125"
"group_2136","","hypothetical protein","83","44","76","294","52.20125786163522","86.98224852071006","7.297248803827751","9.444746129616937e-20","2.934482622471982e-16","7.931034114789142e-18","10","6","4","0.75390625","0.75390625"
"group_859","","hypothetical protein","83","44","76","294","52.20125786163522","86.98224852071006","7.297248803827751","9.444746129616937e-20","2.934482622471982e-16","7.931034114789142e-18","10","6","4","0.75390625","0.75390625"
"hylB~~~hylB_1","hylB;;hylB_1","Hyaluronate lyase","8","141","151","197","5.031446540880504","58.28402366863905","0.07402188718237752","1.5251853553486322e-19","4.7387508990682e-16","1.2470397102811052e-17","8","4","6","0.2890625","1.0"
"group_1857","","hypothetical protein","15","165","144","173","9.433962264150944","51.183431952662716","0.10921717171717171","1.6562226582724852e-19","5.145883799252612e-16","1.316128812427345e-17","8","4","6","0.2890625","1.0"
"group_2013","rlmH","Ribosomal RNA large subunit methyltransferase H","7","136","152","202","4.40251572327044","59.76331360946746","0.06840170278637771","1.6944046506950047e-19","5.26451524970938e-16","1.316128812427345e-17","14","6","10","0.1795654296875","0.79052734375"
"group_698","","hypothetical protein","4","122","155","216","2.515723270440252","63.905325443786985","0.04569011105235325","2.2110104267021322e-19","6.869609395763525e-16","1.6755144867715914e-17","3","2","3","0.25","1.0"
"rlmH","rlmH","Ribosomal RNA large subunit methyltransferase H","152","203","7","135","95.59748427672956","39.94082840236686","14.440534834623504","3.3489335755539125e-19","1.0405136619246007e-15","2.4774134807728588e-17","13","9","6","0.266845703125","1.0"
"essG_8","essG_8","Type VII secretion system protein EsaG","62","20","97","318","38.9937106918239","94.0828402366864","10.162886597938144","4.2278864415184656e-19","1.3136043173797872e-15","3.054893761348342e-17","5","4","4","0.375","0.375"
"group_1704","","putative lipoprotein","93","62","66","276","58.490566037735846","81.65680473372781","6.2727272727272725","1.355046977170363e-18","4.210130958068318e-15","9.45823387670112e-17","7","5","4","0.453125","1.0"
"lpl2_2~~~lpl2_6~~~lpl2_1~~~lpl2_7~~~lpl2_3~~~lpl2_4~~~lpl2_5",";lpl2_2;lpl2_6;lpl2_1;lpl2_7;lpl2_3;lpl2_4;lpl2_5","putative lipoprotein;putative protein;hypothetical protein","102","322","57","16","64.15094339622641","4.733727810650888","0.08891794704151683","1.3698761649551027e-18","4.256205244515504e-15","9.45823387670112e-17","5","4","2","0.375","1.0"
"group_1950","","hypothetical protein","40","3","119","335","25.157232704402517","99.11242603550295","37.53501400560224","1.8962989699919455e-18","5.8918008997649745e-15","1.2274585207843698e-16","1","1","1","1.0","1.0"
"group_402","","hypothetical protein","40","3","119","335","25.157232704402517","99.11242603550295","37.53501400560224","1.8962989699919455e-18","5.8918008997649745e-15","1.2274585207843698e-16","1","1","1","1.0","1.0"
"group_24","","hypothetical protein","40","3","119","335","25.157232704402517","99.11242603550295","37.53501400560224","1.8962989699919455e-18","5.8918008997649745e-15","1.2274585207843698e-16","1","1","1","1.0","1.0"
"group_1790","","hypothetical protein","51","11","108","327","32.075471698113205","96.7455621301775","14.037878787878787","2.4105301650976143e-18","7.489517222958288e-15","1.5284729026445487e-16","12","5","7","0.7744140625","0.7744140625"
"group_2070","","hypothetical protein","39","3","120","335","24.528301886792452","99.11242603550295","36.291666666666664","6.694366233421869e-18","2.0799395887241745e-14","4.1588236383033097e-16","8","6","3","0.2890625","0.7265625"
"group_1558","","hypothetical protein","7","129","152","209","4.40251572327044","61.834319526627226","0.07461240310077519","6.8265209383157e-18","2.121000055534688e-14","4.1588236383033097e-16","18","7","12","0.237884521484375","0.480682373046875"
