"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_2436","","hypothetical protein","573","0","8","22","98.62306368330465","100.0","inf","6.599993903884274e-34","2.932377291495783e-30","9.774590971652609e-31","11","11","0","0.0009765625","0.0009765625"
"ugpQ","ugpQ","Glycerophosphodiester phosphodiesterase cytoplasmic","573","0","8","22","98.62306368330465","100.0","inf","6.599993903884274e-34","2.932377291495783e-30","9.774590971652609e-31","11","11","0","0.0009765625","0.0009765625"
"pbp~~~mecA_1","pbp;mecA_1","Beta-lactam-inducible penicillin-binding protein;PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA","573","0","8","22","98.62306368330465","100.0","inf","6.599993903884274e-34","2.932377291495783e-30","9.774590971652609e-31","11","11","0","0.0009765625","0.0009765625"
"group_167","","hypothetical protein","562","0","19","22","96.72977624784855","100.0","inf","2.758914785048646e-29","1.2257858389971135e-25","3.064464597492784e-26","11","11","0","0.0009765625","0.0009765625"
"group_657","","IS6 family transposase IS431R;IS6 family transposase IS431mec","501","1","80","21","86.23063683304647","95.45454545454545","131.5125","1.469813625628016e-16","6.530381938665275e-13","1.306076387733055e-13","12","11","1","0.00634765625","0.00634765625"
"group_1097","","hypothetical protein","2","11","579","11","0.34423407917383825","50.0","0.0034542314335060447","6.069132303904449e-16","2.6965154826247466e-12","3.8521649751782096e-13","2","1","2","0.5","1.0"
"group_827","","hypothetical protein","2","11","579","11","0.34423407917383825","50.0","0.0034542314335060447","6.069132303904449e-16","2.6965154826247466e-12","3.8521649751782096e-13","2","1","2","0.5","1.0"
"group_1745","","hypothetical protein","444","0","137","22","76.41996557659209","100.0","inf","5.897285787643369e-14","2.6201640754499487e-10","3.275205094312436e-11","10","10","0","0.001953125","0.001953125"
"group_1744","","hypothetical protein","443","0","138","22","76.24784853700515","100.0","inf","6.837432797265284e-14","3.0378713918249654e-10","3.3754126575832946e-11","10","10","0","0.001953125","0.001953125"
"group_1271","","hypothetical protein","6","11","575","11","1.0327022375215147","50.0","0.010434782608695653","8.987038230244389e-14","3.9929410856975817e-10","3.629946441543256e-11","3","2","2","1.0","1.0"
