"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_2688","bcrB","Bacitracin transport permease protein BcrB","8","0","2","593","80.0","100.0","inf","1.0875391856454373e-16","4.831936601822678e-13","6.902766574032397e-14","1","1","0","1.0","1.0"
"group_2687","uppP_2","Undecaprenyl-diphosphatase","8","0","2","593","80.0","100.0","inf","1.0875391856454373e-16","4.831936601822678e-13","6.902766574032397e-14","1","1","0","1.0","1.0"
"group_781","","hypothetical protein","8","0","2","593","80.0","100.0","inf","1.0875391856454373e-16","4.831936601822678e-13","6.902766574032397e-14","1","1","0","1.0","1.0"
"group_650","","hypothetical protein","8","0","2","593","80.0","100.0","inf","1.0875391856454373e-16","4.831936601822678e-13","6.902766574032397e-14","1","1","0","1.0","1.0"
"group_409","","hypothetical protein","8","0","2","593","80.0","100.0","inf","1.0875391856454373e-16","4.831936601822678e-13","6.902766574032397e-14","1","1","0","1.0","1.0"
"xerC_1","xerC_1","Tyrosine recombinase XerC","8","0","2","593","80.0","100.0","inf","1.0875391856454373e-16","4.831936601822678e-13","6.902766574032397e-14","1","1","0","1.0","1.0"
"group_330","","hypothetical protein","8","0","2","593","80.0","100.0","inf","1.0875391856454373e-16","4.831936601822678e-13","6.902766574032397e-14","1","1","0","1.0","1.0"
"group_2437","","hypothetical protein","8","1","2","592","80.0","99.83136593591905","2368.0","9.758607919601305e-16","4.33574949867886e-12","8.501469605252667e-14","1","1","1","1.0","1.0"
"group_2418","","hypothetical protein","8","1","2","592","80.0","99.83136593591905","2368.0","9.758607919601305e-16","4.33574949867886e-12","8.501469605252667e-14","1","1","1","1.0","1.0"
"mecI","mecI","Methicillin resistance regulatory protein MecI","8","1","2","592","80.0","99.83136593591905","2368.0","9.758607919601305e-16","4.33574949867886e-12","8.501469605252667e-14","1","1","1","1.0","1.0"
"recF_2~~~recF_1","recF_2;recF_1;","DNA replication and repair protein RecF;hypothetical protein","8","1","2","592","80.0","99.83136593591905","2368.0","9.758607919601305e-16","4.33574949867886e-12","8.501469605252667e-14","1","1","1","1.0","1.0"
"group_2362","","hypothetical protein","8","1","2","592","80.0","99.83136593591905","2368.0","9.758607919601305e-16","4.33574949867886e-12","8.501469605252667e-14","1","1","1","1.0","1.0"
"group_2262","","hypothetical protein","8","1","2","592","80.0","99.83136593591905","2368.0","9.758607919601305e-16","4.33574949867886e-12","8.501469605252667e-14","1","1","1","1.0","1.0"
"group_2219","","hypothetical protein","8","1","2","592","80.0","99.83136593591905","2368.0","9.758607919601305e-16","4.33574949867886e-12","8.501469605252667e-14","1","1","1","1.0","1.0"
"group_2139","","IS21 family transposase ISCth9","8","1","2","592","80.0","99.83136593591905","2368.0","9.758607919601305e-16","4.33574949867886e-12","8.501469605252667e-14","1","1","1","1.0","1.0"
"group_2083","","hypothetical protein","8","1","2","592","80.0","99.83136593591905","2368.0","9.758607919601305e-16","4.33574949867886e-12","8.501469605252667e-14","1","1","1","1.0","1.0"
"group_2011","","hypothetical protein","8","1","2","592","80.0","99.83136593591905","2368.0","9.758607919601305e-16","4.33574949867886e-12","8.501469605252667e-14","1","1","1","1.0","1.0"
"group_1987","","hypothetical protein","8","1","2","592","80.0","99.83136593591905","2368.0","9.758607919601305e-16","4.33574949867886e-12","8.501469605252667e-14","1","1","1","1.0","1.0"
