"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"hsrA~~~mdtD_2~~~tetK","hsrA;mdtD_2;;tet(K)","putative transport protein HsrA;Putative multidrug resistance protein MdtD;hypothetical protein;tetracycline efflux MFS transporter Tet(K)","84","15","14","490","85.71428571428571","97.02970297029702","196.0","1.8938150673017395e-71","8.414220344021628e-68","8.414220344021628e-68","40","39","2","7.457856554538012e-11","1.4933903003111482e-09"
"repN_1~~~repN_2~~~repN",";repN_1;repN_2;repN","hypothetical protein;Replication initiation protein","84","17","14","488","85.71428571428571","96.63366336633663","172.23529411764707","6.651187771628869e-70","2.9551227269347064e-66","1.4775613634673532e-66","39","38","2","1.4551915228366852e-10","2.841261448338628e-09"
"pre",";pre","hypothetical protein;Plasmid recombination enzyme","80","14","18","491","81.63265306122449","97.22772277227722","155.87301587301587","1.4257317231043974e-66","6.334526045752837e-63","2.1115086819176126e-63","39","38","2","1.4551915228366852e-10","2.841261448338628e-09"
"group_2235","","hypothetical protein","54","12","44","493","55.10204081632652","97.62376237623762","50.42045454545455","5.443970645679542e-38","2.4187561578754203e-34","6.046890394688551e-35","29","28","1","1.1175870895385742e-07","1.1175870895385742e-07"
"group_1163","","hypothetical protein","61","76","37","429","62.244897959183675","84.95049504950495","9.306187766714082","7.059016838593717e-21","3.1363211813871884e-17","6.272642362774377e-18","20","16","8","0.01181793212890625","0.5034446716308594"
"group_1558","","hypothetical protein","61","77","37","428","62.244897959183675","84.75247524752476","9.163917163917164","1.1667790580156519e-20","5.183999354763541e-17","8.639998924605902e-18","20","16","8","0.01181793212890625","0.5034446716308594"
"group_1758","","hypothetical protein","55","67","43","438","56.12244897959183","86.73267326732673","8.361679972231864","1.6626086044868074e-18","7.386970029734886e-15","1.0552814328192694e-15","19","10","14","0.063568115234375","1.0"
"group_1465","","hypothetical protein","75","148","23","357","76.53061224489795","70.6930693069307","7.865746180963573","2.862392746882217e-18","1.271761097439769e-14","1.5897013717997113e-15","20","15","8","0.04138946533203125","0.5034446716308594"
"group_1854","","hypothetical protein","38","25","60","480","38.775510204081634","95.04950495049505","12.16","1.2476605834240632e-17","5.543355972153113e-14","5.039414520139193e-15","2","2","1","0.5","1.0"
"group_1757","","hypothetical protein","38","25","60","480","38.775510204081634","95.04950495049505","12.16","1.2476605834240632e-17","5.543355972153113e-14","5.039414520139193e-15","2","2","1","0.5","1.0"
"group_1746","","hypothetical protein","38","25","60","480","38.775510204081634","95.04950495049505","12.16","1.2476605834240632e-17","5.543355972153113e-14","5.039414520139193e-15","2","2","1","0.5","1.0"
"group_1312","","ISNCY family transposase ISBli29","74","148","24","357","75.51020408163265","70.6930693069307","7.4375","2.3822867924440915e-17","1.0584500218829099e-13","8.82041684902425e-15","20","15","9","0.04138946533203125","0.8238029479980469"
"group_1808","","hypothetical protein","25","8","73","497","25.510204081632654","98.41584158415841","21.27568493150685","5.3138683567390975e-15","2.360951710899181e-11","1.8161167006916777e-12","11","9","3","0.0654296875","0.2265625"
"group_2137","","hypothetical protein","16","293","82","212","16.3265306122449","41.98019801980198","0.14118038791309415","7.79890515574242e-15","3.465053560696357e-11","2.310035707130905e-12","9","5","8","0.0390625","1.0"
"norG_2~~~norG_1~~~norG","norG_2;norG_1;norG","HTH-type transcriptional regulator NorG","16","293","82","212","16.3265306122449","41.98019801980198","0.14118038791309415","7.79890515574242e-15","3.465053560696357e-11","2.310035707130905e-12","9","5","8","0.0390625","1.0"
"group_1879","","hypothetical protein","80","207","18","298","81.63265306122449","59.009900990099005","6.398282340311326","5.1663865710674126e-14","2.2954255535252514e-10","1.4346409709532821e-11","6","6","5","0.03125","0.21875"
"group_19","","hypothetical protein","4","194","94","311","4.081632653061225","61.584158415841586","0.0682167141917087","1.7105787306020705e-13","7.600101300065e-10","4.470647823567647e-11","7","3","4","1.0","1.0"
"group_634","","hypothetical protein","27","15","71","490","27.55102040816326","97.02970297029702","12.422535211267606","2.47341393343704e-13","1.0989378106260768e-09","6.10521005903376e-11","9","9","3","0.00390625","0.5078125"
"group_2218","","hypothetical protein","52","86","46","419","53.06122448979592","82.97029702970296","5.507583417593529","5.283614349643058e-13","2.347509855546411e-09","1.2355315029191635e-10","4","4","2","0.125","1.0"
"group_1650","","hypothetical protein","32","27","66","478","32.6530612244898","94.65346534653465","8.58361391694725","7.795221999891179e-13","3.4634171345516505e-09","1.7317085672758252e-10","4","3","3","0.625","0.625"
"group_2512","","hypothetical protein","28","19","70","486","28.57142857142857","96.23762376237623","10.23157894736842","1.3183065811871219e-12","5.857236140214382e-09","2.789160066768753e-10","11","6","7","0.548828125","1.0"
"group_1193","","hypothetical protein","1","150","97","355","1.0204081632653061","70.29702970297029","0.024398625429553265","1.4730409066807538e-12","6.544720748382589e-09","2.9748730674466315e-10","11","1","11","0.0009765625","0.01171875"
"group_2014","rarD","Protein RarD","31","26","67","479","31.63265306122449","94.85148514851485","8.524110218140068","1.8262140848878328e-12","8.11386917915664e-09","3.527769208328974e-10","3","2","2","1.0","1.0"
"splB_2","splB_2","Serine protease SplB","30","25","68","480","30.612244897959183","95.04950495049505","8.470588235294118","4.2375369863068655e-12","1.8827376830161402e-08","7.530950732064561e-10","1","1","1","1.0","1.0"
"group_76","","hypothetical protein","30","25","68","480","30.612244897959183","95.04950495049505","8.470588235294118","4.2375369863068655e-12","1.8827376830161402e-08","7.530950732064561e-10","1","1","1","1.0","1.0"
"group_1781","","hypothetical protein","6","196","92","309","6.122448979591836","61.18811881188119","0.10281721384205857","5.41623599358023e-12","2.4064336519476963e-08","8.966592911360838e-10","11","2","10","0.01171875","0.0654296875"
"group_1587","","hypothetical protein","58","453","40","52","59.183673469387756","10.297029702970297","0.1664459161147903","5.448976110887748e-12","2.4209800860674263e-08","8.966592911360838e-10","4","4","3","0.125","0.625"
"rarD",";rarD","hypothetical protein;Protein RarD","68","479","30","26","69.38775510204081","5.148514851485149","0.12303409881697983","8.037211348921267e-12","3.5709330023257194e-08","1.2313562076985238e-09","2","2","1","0.5","1.0"
"group_35","","hypothetical protein","30","26","68","479","30.612244897959183","94.85148514851485","8.127828054298643","8.037211348921267e-12","3.5709330023257194e-08","1.2313562076985238e-09","2","1","2","0.5","1.0"
"group_1267","","hypothetical protein","30","27","68","478","30.612244897959183","94.65346534653465","7.810457516339869","1.4938319420067468e-11","6.637095318335976e-08","1.954736558755725e-09","3","1","3","0.25","1.0"
"group_1483","","hypothetical protein","63","141","35","364","64.28571428571429","72.07920792079207","4.646808510638298","1.587058003996293e-11","7.051298711755529e-08","1.954736558755725e-09","12","8","7","0.3876953125","0.7744140625"
"group_1482","","hypothetical protein","63","141","35","364","64.28571428571429","72.07920792079207","4.646808510638298","1.587058003996293e-11","7.051298711755529e-08","1.954736558755725e-09","12","8","7","0.3876953125","0.7744140625"
"group_1331","","hypothetical protein","63","141","35","364","64.28571428571429","72.07920792079207","4.646808510638298","1.587058003996293e-11","7.051298711755529e-08","1.954736558755725e-09","12","8","7","0.3876953125","0.7744140625"
"group_967","","hypothetical protein","63","141","35","364","64.28571428571429","72.07920792079207","4.646808510638298","1.587058003996293e-11","7.051298711755529e-08","1.954736558755725e-09","12","8","7","0.3876953125","0.7744140625"
"group_1336","","hypothetical protein","19","6","79","499","19.387755102040817","98.8118811881188","20.00210970464135","1.620813780881618e-11","7.201275628457029e-08","1.954736558755725e-09","8","7","2","0.0703125","0.2890625"
"linA","linA","Lincosamide resistance protein","19","6","79","499","19.387755102040817","98.8118811881188","20.00210970464135","1.620813780881618e-11","7.201275628457029e-08","1.954736558755725e-09","10","8","3","0.109375","0.34375"
"group_1296","","hypothetical protein","37","373","61","132","37.755102040816325","26.13861386138614","0.21465301278952226","1.6278472355156837e-11","7.232525267396182e-08","1.954736558755725e-09","7","5","7","0.015625","0.453125"
"essG_8","essG_8","Type VII secretion system protein EsaG","1","139","97","366","1.0204081632653061","72.47524752475248","0.027145294074019135","2.0087769025292773e-11","8.924995777937579e-08","2.348683099457258e-09","4","1","3","0.625","0.625"
"group_327","","hypothetical protein","20","8","78","497","20.408163265306122","98.41584158415841","15.929487179487179","2.944403893913301e-11","1.3081986500656796e-07","3.354355512988922e-09","7","7","2","0.015625","0.453125"
"group_1788","","hypothetical protein","33","36","65","469","33.6734693877551","92.87128712871288","6.614102564102564","3.3819499688998296e-11","1.5026003711821943e-07","3.664878954102913e-09","2","2","2","0.5","0.5"
"hemA_2","hemA_2","5-aminolevulinate synthase","33","36","65","469","33.6734693877551","92.87128712871288","6.614102564102564","3.3819499688998296e-11","1.5026003711821943e-07","3.664878954102913e-09","2","2","2","0.5","0.5"
