"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_1963","","hypothetical protein","75","1","20","507","78.94736842105263","99.80314960629921","1901.25","1.134665763717836e-75","5.041319988198345e-72","1.680439996066115e-72","16","16","0","3.0517578125e-05","3.0517578125e-05"
"group_464","","IS1595 family transposase ISSsu9","75","1","20","507","78.94736842105263","99.80314960629921","1901.25","1.134665763717836e-75","5.041319988198345e-72","1.680439996066115e-72","16","16","0","3.0517578125e-05","3.0517578125e-05"
"group_261","","hypothetical protein","75","1","20","507","78.94736842105263","99.80314960629921","1901.25","1.134665763717836e-75","5.041319988198345e-72","1.680439996066115e-72","16","16","0","3.0517578125e-05","3.0517578125e-05"
"group_2087","","hypothetical protein","50","1","45","507","52.63157894736842","99.80314960629921","563.3333333333334","3.157488764146718e-45","1.4028722579103868e-41","3.507180644775967e-42","3","2","1","1.0","1.0"
"group_338","","hypothetical protein","62","18","33","490","65.26315789473685","96.45669291338582","51.14478114478114","1.4629495612774628e-43","6.499884900755767e-40","9.285549858222525e-41","13","8","7","0.5810546875","1.0"
"group_106","","hypothetical protein","62","18","33","490","65.26315789473685","96.45669291338582","51.14478114478114","1.4629495612774628e-43","6.499884900755767e-40","9.285549858222525e-41","13","8","7","0.5810546875","1.0"
"group_47","","hypothetical protein","62","18","33","490","65.26315789473685","96.45669291338582","51.14478114478114","1.4629495612774628e-43","6.499884900755767e-40","9.285549858222525e-41","13","8","7","0.5810546875","1.0"
"group_2149","","hypothetical protein","50","3","45","505","52.63157894736842","99.40944881889764","187.03703703703704","1.2276016815507485e-42","5.4542342711299756e-39","6.8177928389124695e-40","4","2","2","1.0","1.0"
"group_2423","","hypothetical protein","69","36","26","472","72.63157894736842","92.91338582677166","34.794871794871796","5.738619274123457e-42","2.549668543493052e-38","2.8329650483256135e-39","3","3","2","0.25","1.0"
"lpl2_2~~~lpl2_6~~~lpl2_1~~~lpl2_7~~~lpl2_3~~~lpl2_4~~~lpl2_5",";lpl2_2;lpl2_6;lpl2_1;lpl2_7;lpl2_3;lpl2_4;lpl2_5","putative lipoprotein;putative protein;hypothetical protein","30","481","65","27","31.57894736842105","5.31496062992126","0.02590756436910283","7.706401575943937e-42","3.423954220191891e-38","3.4239542201918905e-39","6","6","2","0.03125","0.6875"
"fnbA_1~~~fnbA","fnbA_1;fnbA","Fibronectin-binding protein A","54","9","41","499","56.84210526315789","98.22834645669292","73.02439024390245","3.0859825788725063e-41","1.3711020597930546e-37","1.246456417993686e-38","4","3","2","0.625","1.0"
"group_4","","hypothetical protein","58","17","37","491","61.05263157894737","96.65354330708661","45.27503974562798","6.338511406241637e-40","2.8162006177931595e-36","2.346833848160966e-37","4","3","2","0.625","1.0"
"group_630","","hypothetical protein","12","418","83","90","12.631578947368421","17.716535433070867","0.03112930189658154","8.894279444934905e-40","3.951728357384578e-36","3.0397910441419833e-37","7","4","5","0.453125","1.0"
"group_1657","","hypothetical protein","38","492","57","16","40.0","3.149606299212598","0.02168021680216802","1.6880070131506925e-39","7.499815159428526e-36","4.999876772952351e-37","2","1","2","0.5","1.0"
"mvaA_1~~~mvaA","mvaA_1;mvaA","3-hydroxy-3-methylglutaryl-coenzyme A reductase","38","492","57","16","40.0","3.149606299212598","0.02168021680216802","1.6880070131506925e-39","7.499815159428526e-36","4.999876772952351e-37","2","1","2","0.5","1.0"
"group_2394","","hypothetical protein","58","18","37","490","61.05263157894737","96.45669291338582","42.672672672672675","2.4920737208783365e-39","1.1072283541862449e-35","6.5131079658014405e-37","5","3","2","1.0","1.0"
"group_535","","hypothetical protein","58","18","37","490","61.05263157894737","96.45669291338582","42.672672672672675","2.4920737208783365e-39","1.1072283541862449e-35","6.5131079658014405e-37","5","3","2","1.0","1.0"
"mvaA","mvaA","3-hydroxy-3-methylglutaryl-coenzyme A reductase","57","17","38","491","60.0","96.65354330708661","43.3235294117647","6.830534439824102e-39","3.0348064516138486e-35","1.4451459293399281e-36","3","2","2","1.0","1.0"
"qorB","qorB","Quinone oxidoreductase 2","38","491","57","17","40.0","3.346456692913386","0.02308214528173795","6.830534439824103e-39","3.034806451613849e-35","1.4451459293399281e-36","4","2","3","0.625","1.0"
"group_1802","","hypothetical protein","38","491","57","17","40.0","3.346456692913386","0.02308214528173795","6.830534439824103e-39","3.034806451613849e-35","1.4451459293399281e-36","3","1","2","1.0","1.0"
"group_1711","","hypothetical protein","38","491","57","17","40.0","3.346456692913386","0.02308214528173795","6.830534439824103e-39","3.034806451613849e-35","1.4451459293399281e-36","3","1","2","1.0","1.0"
"fnbB","fnbB","Fibronectin-binding protein B","54","13","41","495","56.84210526315789","97.44094488188976","50.150093808630395","2.4249980752908686e-38","1.077426644851733e-34","4.89739384023515e-36","5","3","3","1.0","1.0"
"group_2182","","hypothetical protein","73","58","22","450","76.84210526315789","88.58267716535433","25.744514106583072","5.831047148844839e-38","2.5907342482317617e-34","9.636414102783015e-36","18","11","10","0.480682373046875","0.8145294189453125"
"group_1083","","hypothetical protein","73","58","22","450","76.84210526315789","88.58267716535433","25.744514106583072","5.831047148844839e-38","2.5907342482317617e-34","9.636414102783015e-36","18","11","10","0.480682373046875","0.8145294189453125"
"group_1449","","hypothetical protein","56","17","39","491","58.94736842105262","96.65354330708661","41.47209653092006","7.157363614491099e-38","3.180016653918395e-34","9.636414102783015e-36","3","2","2","1.0","1.0"
"group_1223","","hypothetical protein","56","17","39","491","58.94736842105262","96.65354330708661","41.47209653092006","7.157363614491099e-38","3.180016653918395e-34","9.636414102783015e-36","3","2","2","1.0","1.0"
"group_906","","hypothetical protein","56","17","39","491","58.94736842105262","96.65354330708661","41.47209653092006","7.157363614491099e-38","3.180016653918395e-34","9.636414102783015e-36","3","2","2","1.0","1.0"
"group_451","","hypothetical protein","56","17","39","491","58.94736842105262","96.65354330708661","41.47209653092006","7.157363614491099e-38","3.180016653918395e-34","9.636414102783015e-36","3","2","2","1.0","1.0"
"group_425","","hypothetical protein","56","17","39","491","58.94736842105262","96.65354330708661","41.47209653092006","7.157363614491099e-38","3.180016653918395e-34","9.636414102783015e-36","3","2","2","1.0","1.0"
"group_362","","hypothetical protein","56","17","39","491","58.94736842105262","96.65354330708661","41.47209653092006","7.157363614491099e-38","3.180016653918395e-34","9.636414102783015e-36","3","2","2","1.0","1.0"
"group_342","","hypothetical protein","56","17","39","491","58.94736842105262","96.65354330708661","41.47209653092006","7.157363614491099e-38","3.180016653918395e-34","9.636414102783015e-36","3","2","2","1.0","1.0"
"group_331","","hypothetical protein","56","17","39","491","58.94736842105262","96.65354330708661","41.47209653092006","7.157363614491099e-38","3.180016653918395e-34","9.636414102783015e-36","3","2","2","1.0","1.0"
"group_124","","hypothetical protein","56","17","39","491","58.94736842105262","96.65354330708661","41.47209653092006","7.157363614491099e-38","3.180016653918395e-34","9.636414102783015e-36","3","2","2","1.0","1.0"
"lpl2_3~~~lpl2_6","lpl2_3;lpl2_6;","putative lipoprotein;putative protein","58","22","37","486","61.05263157894737","95.66929133858267","34.62899262899263","4.045531333467742e-37","1.7974295714597176e-33","5.286557563116816e-35","5","3","4","0.375","1.0"
"group_2069","","hypothetical protein","55","17","40","491","57.89473684210527","96.65354330708661","39.713235294117645","7.296473548457295e-37","3.241823197579576e-33","8.531113677840991e-35","2","1","2","0.5","1.0"
"group_1944","","hypothetical protein","55","17","40","491","57.89473684210527","96.65354330708661","39.713235294117645","7.296473548457295e-37","3.241823197579576e-33","8.531113677840991e-35","2","1","2","0.5","1.0"
"group_1919","qorB","Quinone oxidoreductase 2","55","17","40","491","57.89473684210527","96.65354330708661","39.713235294117645","7.296473548457295e-37","3.241823197579576e-33","8.531113677840991e-35","2","1","2","0.5","1.0"
"group_85","","IS3 family transposase ISClsp1","55","17","40","491","57.89473684210527","96.65354330708661","39.713235294117645","7.296473548457295e-37","3.241823197579576e-33","8.531113677840991e-35","2","1","2","0.5","1.0"
"group_1084","","hypothetical protein","72","59","23","449","75.78947368421053","88.38582677165354","23.82313927781872","1.4160730888615564e-36","6.291612733811894e-33","1.6132340343107422e-34","19","10","12","0.359283447265625","1.0"
"fnbA~~~fnbA_1~~~fnbA_2","fnbA;fnbA_1;fnbA_2","Fibronectin-binding protein A","40","489","55","19","42.10526315789473","3.740157480314961","0.02825804052797918","9.882993154186581e-36","4.391013858405098e-32","1.0977534646012745e-33","10","7","4","0.34375","0.75390625"
"group_1212","","hypothetical protein","56","21","39","487","58.94736842105262","95.86614173228347","33.2991452991453","1.1980734882581783e-35","5.323040508331087e-32","1.2983025630075821e-33","4","2","3","0.625","1.0"
"group_1211","","hypothetical protein","40","488","55","20","42.10526315789473","3.937007874015748","0.029806259314456036","3.431218566908068e-35","1.5244904092772547e-31","3.5453265332029184e-33","2","2","1","0.5","1.0"
"group_1809","nasE","Assimilatory nitrite reductase [NAD(P)H] small subunit","55","20","40","488","57.89473684210527","96.06299212598425","33.55","3.431218566908069e-35","1.524490409277255e-31","3.5453265332029184e-33","6","3","3","1.0","1.0"
"nasE","nasE","Assimilatory nitrite reductase [NAD(P)H] small subunit","41","489","54","19","43.15789473684211","3.740157480314961","0.029500871014163446","9.507114635388103e-35","4.2240110325029344e-31","9.600025073870306e-33","4","2","2","1.0","1.0"
"group_2100","","hypothetical protein","55","21","40","487","57.89473684210527","95.86614173228347","31.886904761904763","1.1494967178429624e-34","5.107213917376282e-31","1.1349364260836181e-32","3","1","3","0.25","1.0"
