"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_2576","","hypothetical protein","1","1","2","598","33.33333333333333","99.8330550918197","299.0","0.009950193752383618","1.0","1.0","1","1","1","1.0","1.0"
"group_2567","","hypothetical protein","1","1","2","598","33.33333333333333","99.8330550918197","299.0","0.009950193752383618","1.0","1.0","1","1","1","1.0","1.0"
"group_2919","","hypothetical protein","1","4","2","595","33.33333333333333","99.33222036727881","74.375","0.024751383353314508","1.0","1.0","2","1","2","0.5","1.0"
"group_2752","","hypothetical protein","1","5","2","594","33.33333333333333","99.1652754590985","59.4","0.029652130170645496","1.0","1.0","3","1","2","1.0","1.0"
"group_2750","","hypothetical protein","1","5","2","594","33.33333333333333","99.1652754590985","59.4","0.029652130170645496","1.0","1.0","3","1","2","1.0","1.0"
"group_2579","","hypothetical protein","1","5","2","594","33.33333333333333","99.1652754590985","59.4","0.029652130170645496","1.0","1.0","3","1","2","1.0","1.0"
"group_2577","","hypothetical protein","1","5","2","594","33.33333333333333","99.1652754590985","59.4","0.029652130170645496","1.0","1.0","3","1","2","1.0","1.0"
"group_2571","","hypothetical protein","1","5","2","594","33.33333333333333","99.1652754590985","59.4","0.029652130170645496","1.0","1.0","3","1","2","1.0","1.0"
"group_2568","","hypothetical protein","1","5","2","594","33.33333333333333","99.1652754590985","59.4","0.029652130170645496","1.0","1.0","3","1","2","1.0","1.0"
"group_2565","","hypothetical protein","1","5","2","594","33.33333333333333","99.1652754590985","59.4","0.029652130170645496","1.0","1.0","3","1","2","1.0","1.0"
"group_2561","","hypothetical protein","1","5","2","594","33.33333333333333","99.1652754590985","59.4","0.029652130170645496","1.0","1.0","3","1","2","1.0","1.0"
"group_2555","","hypothetical protein","1","5","2","594","33.33333333333333","99.1652754590985","59.4","0.029652130170645496","1.0","1.0","3","1","2","1.0","1.0"
"group_551","","hypothetical protein","3","195","0","404","100.0","67.4457429048414","inf","0.035218047440308056","1.0","1.0","3","3","0","0.25","0.25"
"group_521","","IS200/IS605 family transposase ISSep3","2","67","1","532","66.66666666666666","88.81469115191987","15.880597014925373","0.036008977285918314","1.0","1.0","3","2","1","1.0","1.0"
"group_1679","","putative autolysin PH","2","68","1","531","66.66666666666666","88.64774624373956","15.617647058823529","0.037023565375526285","1.0","1.0","3","2","1","1.0","1.0"
"group_2754","","IS30 family transposase ISSau5","1","7","2","592","33.33333333333333","98.8313856427379","42.285714285714285","0.0394043150673534","1.0","1.0","3","1","2","1.0","1.0"
"group_2751","","IS30 family transposase ISSau5","1","7","2","592","33.33333333333333","98.8313856427379","42.285714285714285","0.0394043150673534","1.0","1.0","3","1","2","1.0","1.0"
"group_1311","","IS200/IS605 family transposase ISSep3","1","9","2","590","33.33333333333333","98.49749582637729","32.77777777777778","0.04909093924300417","1.0","1.0","3","1","2","1.0","1.0"
