"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"cfr_1~~~cfr_2~~~cfr","cfr_1;cfr_2;cfr","Ribosomal RNA large subunit methyltransferase Cfr","2","1","0","600","100.0","99.83361064891847","inf","1.6528652418970372e-05","0.07343680269748536","0.03671840134874268","2","2","0","0.5","0.5"
"group_2707","","hypothetical protein","2","1","0","600","100.0","99.83361064891847","inf","1.6528652418970372e-05","0.07343680269748536","0.03671840134874268","2","2","0","0.5","0.5"
"group_1527","","hypothetical protein","1","601","1","0","50.0","0.0","0.0","0.0033167495854068228","1.0","1.0","1","0","1","1.0","1.0"
"group_2792","","hypothetical protein","1","0","1","601","50.0","100.0","inf","0.0033167495854068228","1.0","1.0","1","1","0","1.0","1.0"
"group_2706","","hypothetical protein","1","0","1","601","50.0","100.0","inf","0.0033167495854068228","1.0","1.0","1","1","0","1.0","1.0"
"yydH","yydH","Putative peptide zinc metalloprotease protein YydH","1","0","1","601","50.0","100.0","inf","0.0033167495854068228","1.0","1.0","1","1","0","1.0","1.0"
"group_549","","hypothetical protein","1","0","1","601","50.0","100.0","inf","0.0033167495854068228","1.0","1.0","1","1","0","1.0","1.0"
"group_186","","hypothetical protein","1","0","1","601","50.0","100.0","inf","0.0033167495854068228","1.0","1.0","1","1","0","1.0","1.0"
"czcD_3","czcD_3","Cadmium cobalt and zinc/H(+)-K(+) antiporter","1","1","1","600","50.0","99.83361064891847","600.0","0.006627989620010818","1.0","1.0","2","1","1","1.0","1.0"
"bin3_1","bin3_1","Putative transposon Tn552 DNA-invertase bin3","1","1","1","600","50.0","99.83361064891847","600.0","0.006627989620010818","1.0","1.0","2","1","1","1.0","1.0"
"group_2705","","hypothetical protein","1","1","1","600","50.0","99.83361064891847","600.0","0.006627989620010818","1.0","1.0","2","1","1","1.0","1.0"
"group_2682","","hypothetical protein","1","1","1","600","50.0","99.83361064891847","600.0","0.006627989620010818","1.0","1.0","2","1","1","1.0","1.0"
"group_2962","","hypothetical protein","1","2","1","599","50.0","99.66722129783693","299.5","0.009933720103797018","1.0","1.0","2","1","1","1.0","1.0"
"group_2794","","hypothetical protein","1","2","1","599","50.0","99.66722129783693","299.5","0.009933720103797018","1.0","1.0","2","1","1","1.0","1.0"
"group_2793","qacA","Antiseptic resistance protein","1","2","1","599","50.0","99.66722129783693","299.5","0.009933720103797018","1.0","1.0","2","1","1","1.0","1.0"
"qacR","qacR","HTH-type transcriptional regulator QacR","1","2","1","599","50.0","99.66722129783693","299.5","0.009933720103797018","1.0","1.0","2","1","1","1.0","1.0"
"group_1802","","hypothetical protein","0","529","2","72","0.0","11.980033277870216","0.0","0.014881296727876246","1.0","1.0","2","0","2","0.5","0.5"
"group_2394","","hypothetical protein","2","74","0","527","100.0","87.68718801996673","inf","0.015702219798023893","1.0","1.0","2","2","0","0.5","0.5"
"group_2696","","hypothetical protein","1","5","1","596","50.0","99.16805324459234","119.2","0.019817854250335273","1.0","1.0","2","1","1","1.0","1.0"
"lmrA~~~bmrA_2",";lmrA;bmrA_2","hypothetical protein;Multidrug resistance ABC transporter ATP-binding and permease protein;Multidrug resistance ABC transporter ATP-binding/permease protein BmrA","1","6","1","595","50.0","99.00166389351082","99.16666666666667","0.02310154653091302","1.0","1.0","2","1","1","1.0","1.0"
"group_2941","","hypothetical protein","1","6","1","595","50.0","99.00166389351082","99.16666666666667","0.02310154653091302","1.0","1.0","2","1","1","1.0","1.0"
"group_2925","","hypothetical protein","1","6","1","595","50.0","99.00166389351082","99.16666666666667","0.02310154653091302","1.0","1.0","2","1","1","1.0","1.0"
"group_2552","","hypothetical protein","1","6","1","595","50.0","99.00166389351082","99.16666666666667","0.02310154653091302","1.0","1.0","2","1","1","1.0","1.0"
"group_2550","","hypothetical protein","1","6","1","595","50.0","99.00166389351082","99.16666666666667","0.02310154653091302","1.0","1.0","2","1","1","1.0","1.0"
"group_2549","","hypothetical protein","1","6","1","595","50.0","99.00166389351082","99.16666666666667","0.02310154653091302","1.0","1.0","2","1","1","1.0","1.0"
"group_2548","","hypothetical protein","1","6","1","595","50.0","99.00166389351082","99.16666666666667","0.02310154653091302","1.0","1.0","2","1","1","1.0","1.0"
"group_2547","","hypothetical protein","1","6","1","595","50.0","99.00166389351082","99.16666666666667","0.02310154653091302","1.0","1.0","2","1","1","1.0","1.0"
"group_2546","","hypothetical protein","1","6","1","595","50.0","99.00166389351082","99.16666666666667","0.02310154653091302","1.0","1.0","2","1","1","1.0","1.0"
"group_2545","","hypothetical protein","1","6","1","595","50.0","99.00166389351082","99.16666666666667","0.02310154653091302","1.0","1.0","2","1","1","1.0","1.0"
"group_2544","","hypothetical protein","1","6","1","595","50.0","99.00166389351082","99.16666666666667","0.02310154653091302","1.0","1.0","2","1","1","1.0","1.0"
"group_2543","","hypothetical protein","1","6","1","595","50.0","99.00166389351082","99.16666666666667","0.02310154653091302","1.0","1.0","2","1","1","1.0","1.0"
"group_786","","hypothetical protein","1","6","1","595","50.0","99.00166389351082","99.16666666666667","0.02310154653091302","1.0","1.0","2","1","1","1.0","1.0"
"group_1786","","IS6 family transposase IS431R;IS6 family transposase IS431mec;hypothetical protein;IS6 family transposase ISSau6","2","111","0","490","100.0","81.53078202995009","inf","0.034864437502407634","1.0","1.0","2","2","0","0.5","0.5"
"group_1285","","hypothetical protein","1","11","1","590","50.0","98.16971713810317","53.63636363636363","0.039437364671665635","1.0","1.0","2","1","1","1.0","1.0"
"ywrO","ywrO","General stress protein 14","1","11","1","590","50.0","98.16971713810317","53.63636363636363","0.039437364671665635","1.0","1.0","2","1","1","1.0","1.0"
"fexA","fexA","chloramphenicol/florfenicol efflux MFS transporter FexA","1","11","1","590","50.0","98.16971713810317","53.63636363636363","0.039437364671665635","1.0","1.0","2","1","1","1.0","1.0"
"group_292","","hypothetical protein","1","11","1","590","50.0","98.16971713810317","53.63636363636363","0.039437364671665635","1.0","1.0","2","1","1","1.0","1.0"
