"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_1617","","hypothetical protein","8","1","594","0","1.3289036544850499","0.0","0.0","0.014925373134332327","1.0","1.0","1","0","1","1.0","1.0"
"group_1378","","hypothetical protein","8","1","594","0","1.3289036544850499","0.0","0.0","0.014925373134332327","1.0","1.0","1","0","1","1.0","1.0"
"group_2174","","hypothetical protein","13","1","589","0","2.1594684385382057","0.0","0.0","0.02321724709784867","1.0","1.0","1","0","1","1.0","1.0"
"group_1747","","hypothetical protein","13","1","589","0","2.1594684385382057","0.0","0.0","0.02321724709784867","1.0","1.0","1","0","1","1.0","1.0"
"group_2263","","hypothetical protein","19","1","583","0","3.1561461794019934","0.0","0.0","0.033167495854069855","1.0","1.0","1","0","1","1.0","1.0"
"group_607","","hypothetical protein","19","1","583","0","3.1561461794019934","0.0","0.0","0.033167495854069855","1.0","1.0","1","0","1","1.0","1.0"
"group_193","","hypothetical protein","19","1","583","0","3.1561461794019934","0.0","0.0","0.033167495854069855","1.0","1.0","1","0","1","1.0","1.0"
"group_2436","","hypothetical protein","573","0","29","1","95.1827242524917","100.0","inf","0.049751243781110226","1.0","1.0","1","1","0","1.0","1.0"
"ugpQ","ugpQ","Glycerophosphodiester phosphodiesterase cytoplasmic","573","0","29","1","95.1827242524917","100.0","inf","0.049751243781110226","1.0","1.0","1","1","0","1.0","1.0"
"pbp~~~mecA_1","pbp;mecA_1","Beta-lactam-inducible penicillin-binding protein;PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA","573","0","29","1","95.1827242524917","100.0","inf","0.049751243781110226","1.0","1.0","1","1","0","1.0","1.0"
